"","year","weekofyear","ndvi_ne","ndvi_nw","ndvi_se","ndvi_sw","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","total_cases","peak"
"78",1991,43,0.1944,0.1186,0.1808143,0.1998714,50.24,26.741428571,26.842857143,22.305714286,28.85,24.85,12.6,76.7771428571,50.24,16.85,2.81428571429,27.8285714286,7.08571428571,32.8,23.3,3.5,129,1
"79",1991,44,0.094,0.09665,0.1255667,0.1213167,72.61,26.755714286,26.842857143,22.768571429,29.25,24.95,26.83,78.9871428571,72.61,17.3757142857,3.04285714286,28.1142857143,7.25714285714,32.8,24.4,4.8,140,1
"80",1991,45,0.0544,0.05475,0.1121333,0.1193857,42.92,25.94,26.128571429,22.417142857,29.45,24.15,74.83,81.0585714286,42.92,16.9671428571,2.9,27.1857142857,6.75714285714,32.2,22.8,41.4,140,1
"81",1991,46,0.0954,0.1114,0.1949429,0.1980571,78.73,25.535714286,25.635714286,22.465714286,27.85,24.25,72.7,83.5142857143,78.73,17.0614285714,1.97142857143,26.6571428571,6.74285714286,31.1,22.2,28.2,127,1
"82",1991,47,0.00825,0.028425,0.1387429,0.1796429,0,25.548571429,25.557142857,20.88,27.65,23.95,15.1,75.5485714286,0,15.46,2.27142857143,26.3142857143,6.81428571429,30,22.2,9.4,129,1
"83",1991,48,0.08786667,0.1519,0.1796286,0.1661857,35.34,25.225714286,25.35,21.788571429,27.95,23.75,78.43,81.4857142857,35.34,16.3228571429,2.02857142857,26.2714285714,6.58571428571,30,22.2,76.2,169,1
"84",1991,49,0.0802,0.14025,0.1336286,0.1344571,0,25.492857143,25.692857143,21.824285714,27.35,24.55,35.1,80.2757142857,0,16.34,1.8,26.7285714286,6.05714285714,30.6,23.3,19.6,141,1
"85",1991,50,-0.02665,0.2128,0.2224143,0.2289429,0,25.368571429,25.442857143,21.364285714,27.05,24.15,26.8,78.6214285714,0,15.8842857143,2.01428571429,25.6142857143,5.85714285714,29.4,21.7,34.2,108,1
"86",1991,51,-0.02665,0.04613333,0.1144,0.04045714,0,24.934285714,24.985714286,19.715714286,26.45,23.45,8.76,72.8614285714,0,14.3357142857,2.07142857143,25,6.15714285714,28.9,20.6,6.1,78,1
"87",1991,52,0.12355,0.1237,0.1379333,0.1297556,0,23.371428571,23.357142857,18.895714286,26.05,21.15,19.3,76.1271428571,0,13.6357142857,2.21428571429,24.3571428571,6.18571428571,28.3,19.4,13.7,70,1
"88",1992,1,0.1251,0.1578667,0.1852833,0.1813667,0,23.371428571,23.357142857,18.895714286,26.05,21.15,19.3,76.1271428571,0,13.6357142857,2.21428571429,24.3571428571,6.18571428571,28.3,19.4,13.7,81,1
"227",1994,36,0.04585,0.076225,0.2916857,0.2479714,19.45,26.924285714,27.028571429,22.981428571,29.25,24.45,28.3,79.1385714286,19.45,17.5214285714,2.64285714286,29.2857142857,6.35714285714,33.3,24.4,14.4,202,1
"228",1994,37,0.04585,0.076225,0.0955,0.192925,61.11,26.801428571,26.907142857,22.757142857,29.05,25.05,70.4,78.75,61.11,17.3057142857,2.45714285714,28.5571428571,6.9,34.4,23.9,50.8,272,1
"229",1994,38,0.04585,0.076225,0.0955,0.192925,39.22,26.735714286,26.885714286,22.811428571,29.15,24.95,50.7,79.3142857143,39.22,17.3542857143,1.98571428571,28.3714285714,6.18571428571,32.2,24.4,34.3,302,1
"230",1994,39,0.04585,0.076225,0.0955,0.192925,55.88,26.3585714290001,26.492857143,22.671428571,28.65,24.55,45.2,80.3728571429,55.88,17.2485714286,2.6,28.0142857143,6.7,33.9,23.3,31.5,395,1
"231",1994,40,0.04585,0.076225,0.0955,0.192925,0.63,27.227142857,27.35,22.212857143,29.35,25.55,2.8,74.1171428571,0.63,16.7442857143,2.62857142857,28.7142857143,6.9,34.4,24.4,8.2,426,1
"232",1994,41,0.04585,0.076225,0.0955,0.192925,16.7,26.488571429,26.471428571,22.331428571,29.75,24.65,40.8,78.2257142857,16.7,16.9,2.72857142857,28.3285714286,7.65714285714,35,23.9,39.2,461,1
"233",1994,42,0.04585,0.076225,0.0955,0.192925,75.57,27.088571429,27.25,22.535714286,29.85,25.15,15.81,76.3485714286,75.57,17.1242857143,3.02857142857,28.5714285714,7.44285714286,35,23.9,5.4,381,1
"234",1994,43,0.04585,0.076225,0.0955,0.192925,111.52,25.661428571,25.707142857,23.021428571,27.35,24.35,64.85,85.4171428571,111.52,17.6414285714,1.65714285714,27.6714285714,7.27142857143,32.8,23.3,39.2,333,1
"235",1994,44,0.04585,0.076225,0.0955,0.192925,5.41,26.717142857,26.9,22.695714286,28.75,25.15,15.6,78.6857142857,5.41,17.2642857143,2.32857142857,28.1571428571,6.84285714286,32.2,24.4,1.9,353,1
"236",1994,45,0.04585,0.076225,0.0955,0.192925,32.26,26.147142857,25.978571429,22.43,28.35,24.05,36.6,80.0957142857,32.26,16.9842857143,2.22857142857,27.3142857143,6.92857142857,31.7,22.2,54.5,410,1
"237",1994,46,0.04585,0.076225,0.0955,0.192925,32.17,26.048571429,26.15,23.024285714,29.05,24.35,47.5,83.5842857143,32.17,17.6442857143,1.77142857143,27.2857142857,7.31428571429,32.8,22.2,47.5,364,1
"436",1998,37,0.07465,0.05796667,0.1518857,0.122,72.73,26.997142857,27.05,24.01,28.85,25.55,73.6,84.0028571429,72.73,18.7242857143,2.02857142857,28.3285714286,6.84285714286,32.2,24.4,61.3,99,1
"437",1998,38,0.07465,0.0401,0.1554833,0.14148,35.03,27.437142857,27.457142857,24.125714286,29.85,25.65,33.83,82.3328571429,35.03,18.8471428571,2.18571428571,28.7285714286,6.98571428571,34.4,24.4,39.7,54,1
"438",1998,39,0.05085,0.04685,0.2315857,0.2066857,82.87,26.98,27.035714286,23.91,28.95,25.65,55.8,83.3314285714,82.87,18.5814285714,1.85714285714,27.7714285714,6.22857142857,32.2,24.4,123.6,80,1
